iso3,country,region,latest_observed_date,data_status,cases,ave_season_monthly_cases,monthly_ratio,severity,severity_interpretation,percentile_cumulative,current_season_severity,current_season_percentile,current_season_interpretation,predicted_total_seasonal_cases,monthly_ratio_descriptor
ABW,Aruba,Caribbean,2025-10-01,Observed,0,64.25,0,Low,Below average - fewer cases than typical at this point,5.28329445703954,Extremely Low,4.37502541124254,Rare good event - unusually low cases to date,17,running well below
AFG,Afghanistan,South Asia,2026-06-01,Observed,255,58.25,4.377682403433476,Extremely High,Rare bad event - unusually high cases to date,95.3467688825649,Normal,31.8221117895131,Average - typical case load at this point,8819,running well above
ARG,Argentina,South America,2026-06-01,Observed,3,942.333333333333,0.003183586841174391,Low,Below average - fewer cases than typical at this point,24.5125953191605,Low,7.63000646309596,Below average - fewer cases than typical at this point,1942,running well below
ATG,Antigua And Barbuda,Caribbean,2026-06-01,Observed,0,8,0,Normal,Average - typical case load at this point,25.0593883392772,Low,10.6645402852328,Below average - fewer cases than typical at this point,21,running well below
AUS,Australia,Pacific Islands,2026-06-01,Observed,41,105.857142857143,0.3873144399460184,Normal,Average - typical case load at this point,48.5143338803498,Unknown,43.0202200666873,Cannot determine,1258,running well below
BFA,Burkina Faso,Sub-Saharan Africa,2026-06-01,Observed,2804,590.857142857143,4.745647969052223,Unknown,Cannot determine,NA,Normal,35.5193292960071,Average - typical case load at this point,182115,running well above
BGD,Bangladesh,South Asia,2026-06-01,Observed,2907,1107.8125,2.6240902679830747,High,Above average - more cases than typical at this point,90.6220142948322,Normal,51.2543248078805,Average - typical case load at this point,105529,running well above
BHS,Bahamas,Caribbean,2026-05-01,Observed,0,53.75,0,Normal,Average - typical case load at this point,32.2027415368659,Low,10.6206094363462,Below average - fewer cases than typical at this point,15,running well below
BLM,Saint Barthelemy,Caribbean,2026-05-01,Observed,0,31.9,0,Low,Below average - fewer cases than typical at this point,9.59441247060387,Extremely Low,2.24277460734631,Rare good event - unusually low cases to date,0,running well below
BLZ,Belize,North & Central America,2026-04-01,Observed,11,142.375,0.07726075504828797,Low,Below average - fewer cases than typical at this point,6.30714718594441,Low,8.29324119269103,Below average - fewer cases than typical at this point,629,running well below
BOL,Bolivia,South America,2026-06-01,Observed,1868,1410.73333333333,1.324134020131377,High,Above average - more cases than typical at this point,80.3166129675387,Extremely Low,1.17792261815395e-8,Rare good event - unusually low cases to date,72140,running well above
BRA,Brazil,South America,2026-07-01,Observed,25223,60120.8,0.41953866216018415,Normal,Average - typical case load at this point,48.0513760498286,Extremely Low,2.67533353693961e-8,Rare good event - unusually low cases to date,1602662,running well below
BRB,Barbados,Caribbean,2026-06-01,Observed,0,44.1875,0,Extremely Low,Rare good event - unusually low cases to date,0.687696655004451,Extremely Low,1.61342915193501,Rare good event - unusually low cases to date,0,running well below
BTN,Bhutan,South Asia,2026-06-01,Observed,7,48.75,0.14358974358974358,Normal,Average - typical case load at this point,29.5838450066594,Low,12.6014694438326,Below average - fewer cases than typical at this point,135,running well below
CHL,Chile,South America,2026-06-01,Observed,0,1.66666666666667,0,Unknown,Cannot determine,NA,Unknown,NA,Cannot determine,19,running well below
CHN,China,East & Southeast Asia,2026-06-01,Observed,255,99.5,2.562814070351759,High,Above average - more cases than typical at this point,92.7085961294044,Low,21.8077872912656,Below average - fewer cases than typical at this point,53259,running well above
CIV,Cote D'ivoire,Sub-Saharan Africa,2026-06-01,Observed,75,461,0.16268980477223427,Normal,Average - typical case load at this point,49.5134419214792,Normal,31.5382344602751,Average - typical case load at this point,1138,running well below
COK,Cook Islands,Pacific Islands,2026-04-01,Observed,8,69.6666666666667,0.11483253588516741,Extremely High,Rare bad event - unusually high cases to date,95.2812254060471,Extremely High,97.8443229265935,Rare bad event - unusually high cases to date,1649,running well below
COL,Colombia,South America,2026-07-01,Observed,2365,8740.125,0.27059109566510775,Normal,Average - typical case load at this point,52.7019042205161,Low,23.8335156487114,Below average - fewer cases than typical at this point,95931,running well below
CRI,Costa Rica,North & Central America,2026-07-01,Observed,222,2547.6875,0.08713784559527023,Low,Below average - fewer cases than typical at this point,10.3822753367486,Extremely Low,2.34697768701012,Rare good event - unusually low cases to date,4569,running well below
CUB,Cuba,Caribbean,2025-12-01,Observed,4697,165.125,28.445117335352005,Extremely High,Rare bad event - unusually high cases to date,100,Extremely High,100,Rare bad event - unusually high cases to date,37546,running well above
CYM,Cayman Islands,Caribbean,2026-05-01,Observed,0,1.42857142857143,0,Low,Below average - fewer cases than typical at this point,19.3665553032764,Extremely Low,0.010938500235421,Rare good event - unusually low cases to date,0,running well below
DOM,Dominican Republic,Caribbean,2026-06-01,Observed,165,518.0625,0.3184943901556279,Low,Below average - fewer cases than typical at this point,11.5618948606074,Extremely Low,4.64181480935204,Rare good event - unusually low cases to date,1752,running well below
ECU,Ecuador,South America,2026-07-01,Observed,2513,1821.73333333333,1.3794554636609848,High,Above average - more cases than typical at this point,79.3056582958106,Extremely Low,9.7426072278356e-4,Rare good event - unusually low cases to date,31215,running well above
ERI,Eritrea,Sub-Saharan Africa,2026-06-01,Observed,15,751,0.019973368841544607,Extremely Low,Rare good event - unusually low cases to date,0.00222997896863544,Extremely Low,1.06376519042554e-24,Rare good event - unusually low cases to date,4299,running well below
ETH,Ethiopia,Sub-Saharan Africa,2026-06-01,Observed,390,1411.66666666667,0.2762691853600938,Unknown,Cannot determine,NA,Low,8.13657260977515,Below average - fewer cases than typical at this point,11772,running well below
FJI,Fiji,Pacific Islands,2026-03-01,Observed,284,1423.8,0.19946621716533222,Normal,Average - typical case load at this point,55.8898363154189,Extremely Low,1.97255471700063,Rare good event - unusually low cases to date,6404,running well below
FSM,Micronesia (Federated States Of),Pacific Islands,2026-04-01,Observed,0,7.625,0,Low,Below average - fewer cases than typical at this point,16.3811271122345,Low,11.5780521255838,Below average - fewer cases than typical at this point,0,running well below
GLP,Guadeloupe,Caribbean,2026-05-01,Observed,34,182.066666666667,0.18674478213108717,Normal,Average - typical case load at this point,47.3793616649298,Low,23.5001422215863,Below average - fewer cases than typical at this point,2303,running well below
GRD,Grenada,Caribbean,2026-07-01,Observed,3,27.6,0.10869565217391304,Normal,Average - typical case load at this point,39.2684226964546,Low,10.4610315686247,Below average - fewer cases than typical at this point,155,running well below
GTM,Guatemala,North & Central America,2026-06-01,Observed,1401,3103.75,0.45138944824808697,High,Above average - more cases than typical at this point,88.1300664243344,Normal,58.3859548422533,Average - typical case load at this point,54327,running well below
GUF,French Guiana,South America,2026-03-01,Observed,1,478.923076923077,0.002088017989078059,Low,Below average - fewer cases than typical at this point,6.12707397852911,Low,10.4031367412686,Below average - fewer cases than typical at this point,72,running well below
GUY,Guyana,South America,2026-06-01,Observed,2976,1380,2.1565217391304348,Extremely High,Rare bad event - unusually high cases to date,99.0408436752553,Extremely High,96.2966917524388,Rare bad event - unusually high cases to date,88939,running well above
HND,Honduras,North & Central America,2026-06-01,Observed,1528,5883.3125,0.25971763356102534,Low,Below average - fewer cases than typical at this point,21.1854321910236,Low,11.4529684405865,Below average - fewer cases than typical at this point,12185,running well below
IND,India,South Asia,2026-06-01,Observed,6625,5614.75,1.179927868560488,Normal,Average - typical case load at this point,65.5082298538586,Low,6.72278288416369,Below average - fewer cases than typical at this point,141280,running slightly above
JAM,Jamaica,Caribbean,2026-06-01,Observed,20,68.5625,0.2917046490428441,Normal,Average - typical case load at this point,26.8183131358352,Low,10.2865561074242,Below average - fewer cases than typical at this point,278,running well below
KEN,Kenya,Sub-Saharan Africa,2026-06-01,Observed,1102,185.166666666667,5.951395139513941,Extremely High,Rare bad event - unusually high cases to date,100,Extremely High,99.7233840356679,Rare bad event - unusually high cases to date,28289,running well above
KHM,Cambodia,East & Southeast Asia,2026-06-01,Observed,8095,3400.8125,2.3803135280172016,High,Above average - more cases than typical at this point,94.0151340849031,Normal,72.7274532453467,Average - typical case load at this point,62123,running well above
KIR,Kiribati,Pacific Islands,2026-04-01,Observed,0,11.125,0,Normal,Average - typical case load at this point,28.4750011416754,Normal,70.8692343722641,Average - typical case load at this point,0,running well below
KNA,Saint Kitts And Nevis,Caribbean,2026-04-01,Observed,4,1.66666666666667,2.399999999999995,High,Above average - more cases than typical at this point,93.9156098543646,Extremely Low,0.409080420842923,Rare good event - unusually low cases to date,235,running well above
LAO,Lao People's Democratic Republic,East & Southeast Asia,2026-06-01,Observed,684,1838.6875,0.3720044868962235,Normal,Average - typical case load at this point,33.6370037213901,Low,19.8347198549246,Below average - fewer cases than typical at this point,6856,running well below
LCA,Saint Lucia,Caribbean,2026-07-01,Observed,1,20.7272727272727,0.04824561403508778,Low,Below average - fewer cases than typical at this point,8.45475460847274,Extremely Low,3.5201479179917,Rare good event - unusually low cases to date,26,running well below
LKA,Sri Lanka,South Asia,2026-05-01,Observed,8602,4466.8125,1.9257580209601366,High,Above average - more cases than typical at this point,86.1843162460113,Normal,37.7246256191386,Average - typical case load at this point,93019,running well above
MAF,Saint Martin,Caribbean,2026-05-01,Observed,0,60.2142857142857,0,Low,Below average - fewer cases than typical at this point,9.89788426262685,Extremely Low,3.12688160083836,Rare good event - unusually low cases to date,68,running well below
MDV,Maldives,South Asia,2026-04-01,Observed,601,144.5,4.159169550173011,Extremely High,Rare bad event - unusually high cases to date,99.8906802581329,Normal,73.1795016549193,Average - typical case load at this point,9890,running well above
MEX,Mexico,North & Central America,2026-07-01,Observed,2048,14021.9375,0.1460568484205553,Normal,Average - typical case load at this point,35.9643157321392,Extremely Low,4.6543884540002,Rare good event - unusually low cases to date,104150,running well below
MHL,Marshall Islands,Pacific Islands,2026-04-01,Observed,0,27.4,0,Extremely Low,Rare good event - unusually low cases to date,0.0048360718632695,Unknown,0.00482888646526229,Cannot determine,0,running well below
MMR,Myanmar,East & Southeast Asia,2026-06-01,Observed,866,3890.625,0.2225863453815261,Low,Below average - fewer cases than typical at this point,9.59984967541347,Low,5.17905858138096,Below average - fewer cases than typical at this point,5119,running well below
MRT,Mauritania,Sub-Saharan Africa,2026-06-01,Observed,69,154,0.44805194805194803,Normal,Average - typical case load at this point,43.9239669039307,Low,18.2737718850196,Below average - fewer cases than typical at this point,1368,running well below
MTQ,Martinique,Caribbean,2026-05-01,Observed,60,173.266666666667,0.3462870334744126,Normal,Average - typical case load at this point,61.6901413985103,Normal,43.576634051759,Average - typical case load at this point,2732,running well below
MYS,Malaysia,East & Southeast Asia,2026-06-01,Observed,4826,6668.625,0.7236874168213088,Normal,Average - typical case load at this point,63.9954728197207,Low,22.2163957759901,Below average - fewer cases than typical at this point,86107,running slightly below
NCL,New Caledonia,Pacific Islands,2026-05-01,Observed,105,258.545454545455,0.40611814345991487,Normal,Average - typical case load at this point,62.9284027007338,Low,13.8256216648988,Below average - fewer cases than typical at this point,1689,running well below
NPL,Nepal,South Asia,2026-07-01,Observed,732,737.375,0.9927106289201559,High,Above average - more cases than typical at this point,78.1188111728784,Normal,39.714911526042,Average - typical case load at this point,13441,tracking near
PAK,Pakistan,South Asia,2026-06-01,Observed,1171,2605.75,0.44939077041158976,Normal,Average - typical case load at this point,57.9314662004166,Low,18.3957735435585,Below average - fewer cases than typical at this point,37814,running well below
PAN,Panama,North & Central America,2026-06-01,Observed,171,624.8125,0.2736821046313894,Normal,Average - typical case load at this point,68.0239605916453,Normal,28.7601708586112,Average - typical case load at this point,10020,running well below
PER,Peru,South America,2026-07-01,Observed,1921,3720.86666666667,0.5162775697418159,Normal,Average - typical case load at this point,47.7950759625727,Extremely Low,0.00127787017914218,Rare good event - unusually low cases to date,46642,running well below
PLW,Palau,Pacific Islands,2026-04-01,Observed,0,43.4285714285714,0,Low,Below average - fewer cases than typical at this point,7.21566431742897,Low,11.2507955929388,Below average - fewer cases than typical at this point,0,running well below
PRI,Puerto Rico,Caribbean,2026-06-01,Observed,80,310.615384615385,0.25755324418028697,Normal,Average - typical case load at this point,42.8548829998229,Low,16.9782335095479,Below average - fewer cases than typical at this point,2092,running well below
PRY,Paraguay,South America,2026-07-01,Observed,125,1100.5625,0.1135782838321313,Low,Below average - fewer cases than typical at this point,15.0251464691259,Extremely Low,0.476907962952964,Rare good event - unusually low cases to date,3205,running well below
PYF,French Polynesia,Pacific Islands,2026-04-01,Observed,8,72.25,0.11072664359861592,Low,Below average - fewer cases than typical at this point,21.8329961865857,Low,15.655593623953,Below average - fewer cases than typical at this point,339,running well below
REU,Reunion,Sub-Saharan Africa,2026-06-01,Observed,16,700.9,0.022827792837779998,Low,Below average - fewer cases than typical at this point,24.0896772410725,Low,10.0634437477144,Below average - fewer cases than typical at this point,235,running well below
SDN,Sudan,"Europe, Middle East & North Africa",2026-05-01,Observed,2965,26.875,110.32558139534883,Extremely High,Rare bad event - unusually high cases to date,99.9999999999801,Normal,66.011935385835,Average - typical case load at this point,706322,running well above
SEN,Senegal,Sub-Saharan Africa,2026-06-01,Observed,156,49.8571428571429,3.1289398280802265,High,Above average - more cases than typical at this point,91.6253179651249,Normal,49.1931816670709,Average - typical case load at this point,8604,running well above
